Dec 16 	awayTeamLogo @ BOS 	W 4-2 	W +166 	O 5.5 -115 	L. Ullmark 	T. Rask
Dec 15 	awayTeamLogo @ WAS 	L 3-4 (SO) 	L +170 	O 6.5 -101 	C. Hutton 	P. Copley
Dec 13 	awayTeamLogo ARI 	W 3-1 	W -152 	U 5.5 -103 	C. Hutton 	D. Kuemper
Dec 11 	awayTeamLogo LA 	W 4-3 (OT) 	W -172 	O 5.5 -103 	L. Ullmark 	C. Petersen
Dec 8 	awayTeamLogo PHI 	L 2-6 	L -116 	O 6.5 -105 	L. Ullmark 	A. Stolarz
Dec 4 	awayTeamLogo TOR 	L 3-4 (OT) 	L +147 	O 6 -117 	L. Ullmark 	F. Andersen
Dec 3 	awayTeamLogo @ NAS 	L 1-2 	L +148 	U 5.5 -113 	C. Hutton 	P. Rinne
Nov 30 	awayTeamLogo @ FLA 	L 2-3 (OT) 	L +140 	U 6 -125 	L. Ullmark 	J. Reimer
Nov 29 	awayTeamLogo @ TB 	L 4-5 	L +160 	O 6 -109 	C. Hutton 	L. Domingue
Nov 27 	awayTeamLogo SJ 	W 3-2 (OT) 	W +125 	U 6 -125 	C. Hutton 	M. Jones
Nov 24 	awayTeamLogo @ DET 	W 3-2 (SO) 	W -115 	U 5.5 -115 	L. Ullmark 	J. Howard
Nov 23 	awayTeamLogo MON 	W 3-2 (OT) 	W -137 	U 6 -122 	C. Hutton 	A. Niemi
Nov 21 	awayTeamLogo PHI 	W 5-2 	W -105 	O 6 -116 	C. Hutton 	A. Lyon
Nov 19 	awayTeamLogo @ PIT 	W 5-4 (OT) 	W +140 	O 6 102 	C. Hutton 	C. DeSmith
Nov 17 	awayTeamLogo @ MIN 	W 3-2 	W +175 	U 5.5 -106 	L. Ullmark 	D. Dubnyk
Nov 16 	awayTeamLogo @ WIN 	W 2-1 (SO) 	W +175 	U 6 -112 	C. Hutton 	L. Brossoit
Nov 13 	awayTeamLogo TB 	W 2-1 	W +112 	U 6 -105 	C. Hutton 	L. Domingue
Nov 10 	awayTeamLogo VAN 	W 4-3 (SO) 	W -164 	O 6 -111 	C. Hutton 	J. Markstrom
Nov 8 	awayTeamLogo @ MON 	W 6-5 (OT) 	W +115 	O 5.5 -122 	C. Hutton 	C. Price
Nov 4 	awayTeamLogo @ NYR 	L 1-3 	L +112 	U 6 -120 	C. Hutton 	H. Lundqvist
Nov 3 	awayTeamLogo OTT 	W 9-2 	W -172 	O 6.5 -105 	L. Ullmark 	C. Anderson
Nov 3 	awayTeamLogo OTT 	W 9-2 	W -172 	O 6.5 -105 	L. Ullmark 	M. McKenna
Nov 1 	awayTeamLogo @ OTT 	L 2-4 	L -132 	P 6 	C. Hutton 	C. Anderson
Oct 30 	awayTeamLogo CAL 	L 1-2 (OT) 	L -120 	U 6 -134 	C. Hutton 	D. Rittich
Oct 27 	awayTeamLogo @ CLB 	L 4-5 (OT) 	L +170 	O 6 -105 	L. Ullmark 	J. Korpisalo
Oct 25 	awayTeamLogo MON 	W 4-3 	W -132 	O 5.5 -112 	C. Hutton 	A. Niemi
Oct 21 	awayTeamLogo @ ANA 	W 4-2 	W +135 	O 5.5 105 	C. Hutton 	R. Miller
Oct 20 	awayTeamLogo @ LA 	W 5-1 	W +157 	O 5.5 111 	L. Ullmark 	J. Quick
Oct 18 	awayTeamLogo @ SJ 	L 1-5 	L +200 	O 5.5 -115 	C. Hutton 	M. Jones
Oct 16 	awayTeamLogo @ VEG 	L 1-4 	L +175 	U 5.5 -115 	C. Hutton 	M. Fleury
Oct 13 	awayTeamLogo @ ARI 	W 3-0 	W +130 	U 5.5 -110 	L. Ullmark 	A. Raanta
Oct 11 	awayTeamLogo COL 	L 1-6 	L +100 	O 6 100 	C. Hutton 	S. Varlamov
Oct 8 	awayTeamLogo VEG 	W 4-2 	W +125 	O 5.5 -112 	C. Hutton 	M. Fleury
Oct 6 	awayTeamLogo NYR 	W 3-1 	W -133 	U 6 -110 	C. Hutton 	H. Lundqvist
Oct 4 	awayTeamLogo BOS 	L 0-4 	L +115 	U 6 -130 	C. Hutton 	J. Halak
