Dec 22 	awayTeamLogo @ DET 	W 2-1 	W -143 	U 6 -124 	R. Luongo 	J. Howard
Dec 20 	awayTeamLogo @ TOR 	L 1-6 	L +185 	O 6.5 102 	R. Luongo 	F. Andersen
Dec 18 	awayTeamLogo @ BUF 	W 5-2 	W +100 	O 6 100 	R. Luongo 	C. Hutton
Dec 15 	awayTeamLogo TOR 	W 4-3 (OT) 	W +135 	O 6.5 -122 	R. Luongo 	F. Andersen
Dec 13 	awayTeamLogo @ MIN 	L 1-5 	L +150 	U 6.5 -111 	J. Reimer 	D. Dubnyk
Dec 11 	awayTeamLogo @ STL 	L 3-4 	L -103 	O 6 -106 	R. Luongo 	J. Allen
Dec 8 	awayTeamLogo NYR 	L 4-5 (SO) 	L -196 	O 6 -115 	R. Luongo 	H. Lundqvist
Dec 6 	awayTeamLogo COL 	L 2-5 	L -120 	O 6 -112 	R. Luongo 	P. Grubauer
Dec 4 	awayTeamLogo BOS 	W 5-0 	W -123 	U 5.5 102 	R. Luongo 	J. Halak
Dec 1 	awayTeamLogo TB 	L 4-5 (OT) 	L +120 	O 6.5 104 	J. Reimer 	L. Domingue
Nov 30 	awayTeamLogo BUF 	W 3-2 (OT) 	W -155 	U 6 -125 	J. Reimer 	L. Ullmark
Nov 28 	awayTeamLogo ANA 	L 2-3 	L -175 	U 5.5 -106 	J. Reimer 	J. Gibson
Nov 26 	awayTeamLogo NJ 	W 4-3 (OT) 	W -136 	O 6.5 -111 	J. Reimer 	K. Kinkaid
Nov 24 	awayTeamLogo CHI 	L 4-5 (OT) 	L -155 	O 6 107 	J. Reimer 	C. Ward
Nov 23 	awayTeamLogo @ CAR 	L 1-4 	L +135 	U 6 -105 	J. Reimer 	C. McElhinney
Nov 21 	awayTeamLogo @ TB 	L 3-7 	L +135 	O 6.5 -111 	R. Luongo 	L. Domingue
Nov 19 	awayTeamLogo @ OTT 	W 7-5 	W -129 	O 6 -107 	J. Reimer 	C. Anderson
Nov 17 	awayTeamLogo @ NYR 	L 2-4 	L -129 	O 5.5 -118 	R. Luongo 	H. Lundqvist
Nov 15 	awayTeamLogo @ CLB 	L 3-7 	L -105 	O 5.5 -110 	R. Luongo 	J. Korpisalo
Nov 13 	awayTeamLogo @ PHI 	W 2-1 	W -116 	U 6 -116 	R. Luongo 	B. Elliott
Nov 11 	awayTeamLogo OTT 	W 5-1 	W -249 	U 6.5 -111 	J. Reimer 	M. McKenna
Nov 10 	awayTeamLogo NYI 	W 4-2 	W -179 	P 6 	R. Luongo 	R. Lehner
Nov 8 	awayTeamLogo EDM 	W 4-1 	W -149 	U 6 -132 	R. Luongo 	C. Talbot
Nov 2 	awayTeamLogo @ WIN 	W 4-2 	W +117 	P 6 	R. Luongo 	C. Hellebuyck
Nov 1 	awayTeamLogo WIN 	L 2-4 	L +110 	P 6 	J. Reimer 	C. Hellebuyck
Oct 27 	awayTeamLogo @ NJ 	L 2-3 	L +105 	U 6 -105 	J. Reimer 	K. Kinkaid
Oct 24 	awayTeamLogo @ NYI 	W 3-2 (OT) 	W -110 	U 6.5 -120 	J. Reimer 	R. Lehner
Oct 23 	awayTeamLogo @ NYR 	L 2-5 	L -135 	O 6.5 -104 	M. Hutchinson 	A. Georgiev
Oct 20 	awayTeamLogo DET 	L 3-4 (OT) 	L -200 	O 6.5 115 	M. Hutchinson 	J. Howard
Oct 19 	awayTeamLogo @ WAS 	W 6-5 (SO) 	W +127 	O 6.5 105 	M. Hutchinson 	P. Copley
Oct 16 	awayTeamLogo @ PHI 	L 5-6 (SO) 	L +105 	O 6 -125 	M. Hutchinson 	C. Pickard
Oct 13 	awayTeamLogo VAN 	L 2-3 	L -200 	U 6.5 -120 	J. Reimer 	A. Nilsson
Oct 11 	awayTeamLogo CLB 	L 4-5 	L -140 	O 6 -110 	J. Reimer 	J. Korpisalo
Oct 6 	awayTeamLogo @ TB 	L 1-2 (SO) 	L +165 	U 6 111 	J. Reimer 	A. Vasilevskiy
