Date 	VS 	Score 	ML 	O/U 	Goalie 	Opp. Goalie
Dec 8 	awayTeamLogo COL 	W 7-1 	W -145 	O 6.5 -103 	L. Domingue 	S. Varlamov
Dec 6 	awayTeamLogo BOS 	W 3-2 	W -172 	U 6 -121 	L. Domingue 	T. Rask
Dec 4 	awayTeamLogo @ DET 	W 6-5 (SO) 	W -178 	O 6 -106 	E. Pasquale 	J. Howard
Dec 3 	awayTeamLogo @ NJ 	W 5-1 	W -135 	U 6.5 -132 	L. Domingue 	K. Kinkaid
Dec 1 	awayTeamLogo @ FLA 	W 5-4 (OT) 	W -141 	O 6.5 104 	L. Domingue 	J. Reimer
Nov 29 	awayTeamLogo BUF 	W 5-4 	W -190 	O 6 -109 	L. Domingue 	C. Hutton
Nov 27 	awayTeamLogo ANA 	L 1-3 	L -250 	U 6 -116 	L. Domingue 	R. Miller
Nov 25 	awayTeamLogo NJ 	W 5-2 	W -175 	O 6.5 -111 	L. Domingue 	C. Schneider
Nov 23 	awayTeamLogo CHI 	W 4-2 	W -175 	P 6 	L. Domingue 	C. Crawford
Nov 21 	awayTeamLogo FLA 	W 7-3 	W -156 	O 6.5 -111 	L. Domingue 	R. Luongo
Nov 19 	awayTeamLogo @ NAS 	L 2-3 	L +125 	U 6 -111 	L. Domingue 	P. Rinne
Nov 17 	awayTeamLogo @ PHI 	W 6-5 (OT) 	W -120 	O 6.5 -105 	L. Domingue 	C. Pickard
Nov 15 	awayTeamLogo @ PIT 	W 4-3 	W +100 	O 6 -108 	L. Domingue 	M. Murray
Nov 13 	awayTeamLogo @ BUF 	L 1-2 	L -124 	U 6 -105 	L. Domingue 	C. Hutton
Nov 10 	awayTeamLogo OTT 	L 4-6 	L -323 	O 6 -120 	A. Vasilevskiy 	C. Anderson
Nov 8 	awayTeamLogo NYI 	W 4-2 	W -227 	P 6 	A. Vasilevskiy 	R. Lehner
Nov 6 	awayTeamLogo EDM 	W 5-2 	W -200 	O 6 102 	A. Vasilevskiy 	M. Koskinen
Nov 4 	awayTeamLogo @ OTT 	W 4-3 (OT) 	W -227 	O 6 -117 	L. Domingue 	C. Anderson
Nov 3 	awayTeamLogo @ MON 	W 4-1 	W -135 	U 6 -120 	A. Vasilevskiy 	C. Price
Nov 1 	awayTeamLogo NAS 	L 1-4 	L -127 	U 6 -120 	A. Vasilevskiy 	P. Rinne
